,word,relevancy
0,netmundial,24.653582899483446
1,cebolão,21.292015965591865
2,remanufaturada,21.07259237562112
3,anónimo,20.399113301771553
4,orï¿½amento,20.2393389452765
5,retifica,19.767712374896465
6,turbina,19.356789581782454
7,procooler,19.303839207449666
8,sanitation,18.875280613985986
9,diagram,18.571977307778713
10,gmad,18.493625501674877
11,says:,18.333830372171924
12,spilleautomater,18.17330564495688
13,injetora,18.10236405611042
14,amatra,18.006319344092628
15,apte,17.996656088409704
16,apdo,17.94870816873087
17,advs.,17.80252462177649
18,spilleautomat,17.648436857953698
19,comentado,17.604764229786554
20,disse:,17.577073770108854
21,welcome,17.57254427725561
22,fho|uniararas,17.456169265665146
23,coppe,17.40189025164311
24,marchetti,17.366976198547256
25,automã¡tico,17.292499497518794
26,'id',17.28337457381468
27,permalink,17.28065472495413
28,'name',17.255156521154714
29,fuse,17.196453472109766
30,wiring,17.080335441832347
31,[maximum,17.06821826678701
32,reached],17.06821826678701
33,categoría,17.06668609559429
34,publishing,17.030381939124858
35,marruã¡,16.98196378678911
36,ikke,16.93909037231747
37,expedited,16.930397039077846
38,เว็บไหนดีเล่นบาคาร่า,16.910739415422302
39,public,16.90405488353604
40,marcenaria,16.902131893250242
41,fanuc,16.888701319555427
42,viagra,16.887608828021886
43,crissiumal,16.88397056464631
44,casino,16.881360171292453
45,atuação:,16.822186051157068
46,dies.,16.789175261963805
47,"""leilão",16.76006438901201
48,hipismo,16.75942771120008
49,ambas--,16.75015226642985
50,mainardi,16.7369124997062
51,aproveitável,16.703512810947153
52,leituras:,16.691444477225538
53,relator:,16.621580743044266
54,aenfer,16.61715172912497
55,reply,16.61117003961769
56,spill,16.60340508073323
57,"diogo,",16.603098202703162
58,dies,16.59777593181251
59,new-holland,16.55871707626154
60,policial:,16.54158908486444
61,empilhadeira,16.49673694347651
62,sysrq,16.489307252690622
63,velar,16.48647951507014
64,"guru""",16.46871530610361
65,carrion,16.46653770323781
66,downloads,16.464106405045605
67,uruguayo,16.44768613746561
68,agvte,16.387164753547097
69,itaberaí,16.36957579993582
70,|foto:,16.35835446147581
71,volkswagem,16.318375336499592
72,injetor,16.30791079350626
73,orlanda,16.30140573842735
74,"orazem,",16.29705104236214
75,arreglo,16.28858451762931
76,supervia,16.280736974356643
77,eloá,16.27954079601448
78,spelautomater,16.26561836191811
79,drska,16.258925185742623
80,/dia,16.242698143185546
81,worker,16.232987699361342
82,funepe,16.229857039826754
83,valtra/valmet,16.21387581357547
84,"""cadastrar",16.178871175808666
85,suporte@rhautomotive.com.br,16.17343231297412
86,rect,16.141969704597724
87,eller,16.1322392213007
88,navistar,16.111032769681792
89,eurocargo,16.110833956538055
90,behr,16.087343279672833
91,trens,16.07907214378065
92,jácotei,16.074682234661754
93,marceneiro,16.050840449681793
94,'category',16.048109607815718
95,prf:,16.02696165209974
96,transpaleteira,16.01380242565376
97,stencil,16.00829998817033
98,oficina,16.002520864892382
99,'writer',15.963815548544703
