,word,relevancy
0,;;;;;;;;;;;;,21.96478500985276
1,orï¿½amento,21.389657201700054
2,mococa,20.326916848406
3,loans,20.268421795452003
4,pingback/trackback,20.156795190294535
5,titulação:,19.969748958092012
6,husq.,19.92109444220512
7,payday,19.837368934900443
8,blokton,19.743844947496008
9,regi�o,19.551741471475765
10,ampep,19.540650613544205
11,leituras:,19.503968354174532
12,says:,19.435152389936817
13,procooler,19.378732622486943
14,dating,19.228956012242957
15,vaccari/garagem,19.115745338872433
16,pingback:,19.067627195201467
17,barrocas,18.896820360478934
18,brides,18.78161463239494
19,класс,18.5422850309026
20,órgão/entidade:,18.54162121439401
21,emb.:,18.53762118167856
22,determinações/recomendações/orientações:,18.489173892762786
23,fc/cj,18.48492647300624
24,"mococa,",18.48416882029487
25,shepard,18.478422137717978
26,fc/cj:,18.473503062984125
27,grat.,18.469683924065883
28,bocaiuva-mg,18.351495380732704
29,abate-teto,18.17032984915829
30,pa�s,18.14762258178625
31,friburgo:,18.012550269755298
32,hookup,18.001191656250388
33,maseczki,17.913010381240777
34,liaizegealk,17.90300675082457
35,andrelvbona,17.89292465873304
36,garten,17.79055407202966
37,bride,17.785175037701478
38,zattar,17.77358872589301
39,tadeusz,17.733247377794743
40,tramwaje,17.732970101242838
41,mbigucci,17.71041526689693
42,requerente:,17.68694390391994
43,permalink,17.665813227377942
44,claudine,17.628118321558688
45,insc:,17.590743055415317
46,dolabella,17.58560749329499
47,|foto:,17.568652707955305
48,porn,17.55324508383394
49,jo�o,17.534658249564686
50,loan,17.492336732778284
51,canopus,17.472760528588502
52,acars,17.447259314340723
53,reapers,17.44223685173791
54,lenders,17.43889567454612
55,andrebona,17.40658681337771
56,quatuor,17.398612612988092
57,kalex,17.384528201369204
58,then.,17.356246489111804
59,sindec,17.3318717735151
60,visitor,17.323862093387387
61,gollmann,17.313209696540326
62,soq.,17.308114860945878
63,requerido:,17.306773337409584
64,cisca,17.290933191146447
65,essay,17.281523947594813
66,kaká,17.249770832371006
67,:rua,17.22540687418084
68,cartao.,17.18034284187638
69,cams,17.173988266226164
70,nak.,17.168962668790638
71,crissiumal,17.150799304615603
72,oab:,17.130136057219158
73,bioware,17.111605610905375
74,ebomi,17.09411482885639
75,anónimo,17.09239547990685
76,:av.,17.089087852261883
77,ikke,17.064069111063198
78,maski,17.03143245651164
79,hier,17.02575222580785
80,manda/uol,17.01554831117455
81,webcam,17.00233083518332
82,credit,16.996995191329823
83,ten.spring,16.99489519142018
84,representante:,16.953907473762143
85,furmann,16.92536226489201
86,accu,16.911279472794764
87,diagram,16.901250284895564
88,jeca,16.862961314142066
89,"acordam,",16.840568379849262
90,"hiya,",16.822946487847453
91,deivid,16.819025276869596
92,mocoquense,16.784118036469128
93,xaxim,16.783888955578732
94,funcionamos,16.76715735239625
95,bóng,16.649753151259347
96,parilla,16.6324510018739
97,cordes,16.627198291615397
98,rocadeiras,16.62375066026269
99,apresentador:,16.590678424746574
